positive_score,negative_score,neutral_score,open_price,close_price,high_price,low_price,volume,total_words,total_hashtag,class_label
23.33,13.33,63.33,214.05,213.26,214.42,212.51,19362300,972,37,-1
20.69,12.07,67.24,212,213.28,213.97,211.51,23913700,621,60,1
27.78,11.11,61.11,208.39,209.19,209.48,207.32,19188100,756,27,1
20.75,9.43,69.81,206.43,205.7,206.98,204.22,20023000,604,58,-1
20.97,9.68,69.35,210.16,208.74,210.45,207.2,21143400,820,40,-1
20,3.64,76.36,208.5,209.01,209.32,206.66,20990500,653,123,1
18.75,16.67,64.58,204.1,205.53,205.72,203.32,15938800,553,34,1
24.39,19.51,56.1,207.86,204.16,208.55,203.53,25873300,639,59,-1
33.33,10.42,56.25,205.86,206.49,207.19,205.06,26043600,600,48,1
20.69,20.69,58.62,209.43,202.64,212.05,201,46818000,831,40,-1
16.67,18.75,64.58,213.19,212.46,214.44,210.75,22253700,470,64,-1
25.45,20,54.55,212.99,212.64,213.65,211.6,21535400,717,95,1
21.43,23.21,55.36,210.88,210.36,213.35,210.32,26884300,834,42,1
16.67,15,68.33,210.62,210.35,212.73,210.03,24413600,848,62,1
15.38,13.46,71.15,204.28,206.5,207.16,203.84,27620400,689,55,1
31.71,12.2,56.1,203.46,201.74,205.14,199.67,27227400,779,77,-1
22.45,16.33,61.22,203.16,202.75,206.44,202.59,36547400,743,32,-1
23.4,8.51,68.09,201.02,208.97,212.14,200.48,47218500,704,23,1
30.95,19.05,50,199.62,200.48,202.05,199.15,22481900,730,39,-1
17.95,10.26,71.79,201.3,200.99,202.76,199.29,24619700,500,42,-1
31.58,2.63,65.79,200.2,202.66,203.53,199.39,27009500,629,30,1
23.68,39.47,36.84,195.41,198.29,199.56,193.82,33364400,691,63,1
30.56,11.11,58.33,196.31,196.25,198.07,194.04,35824800,640,48,1
15.79,26.32,57.89,197.99,192.61,198.65,192.58,52393000,528,23,-1
12.24,16.33,71.43,205.53,203.25,206.43,201.63,40862100,646,35,-1
21.95,41.46,36.59,213.9,207.64,218.03,206.74,54017900,858,50,-1
10.45,10.45,79.1,208.76,207.99,210.16,207.31,33935700,566,27,-1
17.86,21.43,60.71,208.46,208.89,210.64,208.44,21673400,694,141,1
34.78,4.35,60.87,207.48,206.95,209.73,207.14,17618900,525,32,1
25.58,9.3,65.12,208.89,206.24,209.24,206.73,13909600,722,55,-1
28.95,10.53,60.53,207.67,207.88,209.15,207.17,14991600,586,20,-1
33.96,5.66,60.38,208.46,208.05,208.91,207.29,18355200,717,134,1
25,12.5,62.5,203.65,206.44,207.23,203.61,22277900,704,20,1
16.33,12.24,71.43,205.79,201.82,206.5,202.36,20929300,665,63,-1
25.58,2.33,72.09,204,204.88,205.88,203.7,18540600,804,46,1
31.43,5.71,62.86,204.05,202.58,205.09,203.27,14107500,505,69,-1
26.32,10.53,63.16,204.59,203.73,206.11,203.5,16866800,710,35,-1
22.22,27.78,50,204.09,204.43,205.87,204,16947400,1002,62,1
30,20,50,202.45,202.53,204,202.2,17595200,853,125,1
36.11,11.11,52.78,203.31,200.99,204.39,201.71,20191800,660,75,-1
36.67,10,53.33,201.85,202.46,203.73,201.56,17897100,510,62,1
36.84,10.53,52.63,199.2,200.48,201.51,198.81,20578000,551,52,1
20.45,15.91,63.64,200.81,199.26,201.4,198.41,25338600,524,83,-1
20,13.33,66.67,203.35,203.46,205.08,202.9,17265500,713,29,-1
23.4,8.51,68.09,203.28,203.64,204.44,202.69,11362000,751,55,1
28.89,11.11,60,201.41,201.96,203.13,201.36,16935200,680,52,1
47.37,7.89,44.74,203.17,200.79,204.49,200.65,27253000,760,48,1
22.22,11.11,66.67,198.68,197.17,199.5,197.05,31110600,612,27,-1
38.78,18.37,42.86,200.29,198.98,201.57,199.57,20899700,844,50,-1
31.43,11.43,57.14,197.77,199.04,200.99,197.35,26067500,551,103,1
22.22,8.33,69.44,198.43,194.83,199.26,195.29,21070300,526,73,-1
31.82,15.91,52.27,198.54,197.83,200.16,198.17,18220400,725,113,-1
31.11,11.11,57.78,198.8,198.03,200.85,198.15,47800600,710,58,-1
44.9,18.37,36.73,200.37,198.71,200.61,198.03,21514000,911,121,1
25.64,7.69,66.67,199.68,197.12,199.88,197.31,21124200,715,101,-1
36.17,6.38,57.45,196.05,197.7,200.29,195.21,26551000,784,138,1
27.12,16.95,55.93,192.9,193.16,194.96,192.17,14669100,1039,180,1
35,15,50,191.55,192.01,193.59,190.3,18761500,807,82,-1
15,25,60,194.7,193.42,196.79,193.6,21674600,676,37,-1
26.67,6.67,66.67,193.95,193.45,195.97,193.39,18253200,383,75,-1
36.59,4.88,58.54,194.86,194.07,196,193.6,26932900,746,75,1
28,8,64,191.81,191.85,195.37,191.62,26220900,776,243,1
31.11,13.33,55.56,186.51,189.43,191.92,185.77,30684400,709,51,1
30.77,12.82,56.41,183.08,184.52,185.47,182.15,22526300,561,67,1
31.58,23.68,44.74,184.28,181.85,184.99,181.14,29773400,781,46,1
23.08,33.33,43.59,175.44,178.96,179.83,174.52,30968000,706,45,1
28.3,20.75,50.94,175.6,172.64,177.92,170.27,40396100,893,76,-1
30.77,25,44.23,177.95,177.63,179.23,176.67,21218400,928,57,1
34.29,20,45.71,176.42,176.71,179.35,176,28481200,645,81,-1
22.22,19.44,58.33,178.92,177.56,180.59,177.91,27948200,547,69,-1
24.14,10.34,65.52,180.2,178.29,182.14,178.62,23714700,574,27,-1
32.61,19.57,47.83,179.8,178.98,180.54,177.81,36529700,638,64,-1
26.67,20,53.33,184.66,182.09,185.71,182.55,29748600,566,49,-1
31.58,23.68,44.74,185.22,185.89,188,184.7,28364800,719,76,1
22,20,58,183.52,182.4,184.35,180.28,38612300,723,72,-1
16.28,25.58,58.14,186.93,188.28,190.9,186.76,32879100,731,37,-1
41.03,7.69,51.28,189.91,189.36,192.47,188.84,33031400,578,89,-1
33.33,4.17,62.5,186.27,190.2,191.75,186.02,26544700,655,60,1
21.88,25,53.12,186.41,187.95,189.7,185.41,36529700,493,53,1
26.83,9.76,63.41,187.71,185.02,189.48,182.85,57430600,579,28,-1
13.04,8.7,78.26,197.42,196.43,198.85,192.77,41208700,555,38,-1
34.38,15.62,50,200.4,199.19,201.68,196.66,34908600,513,71,-1
31.11,13.33,55.56,201.9,201.36,205.34,201.75,26339500,564,37,1
18.75,25,56.25,205.88,201.32,207.42,200.83,38763700,391,51,-1
14.71,8.82,76.47,204.29,206.89,208.84,203.5,32443100,479,20,-1
24.49,2.04,73.47,210.89,210.14,211.84,210.23,20892400,798,55,1
27.27,12.73,60,209.84,207.56,212.65,208.13,31996300,905,49,-1
18.75,25,56.25,209.88,208.92,215.31,209.23,64827300,743,64,1
21.05,15.79,63.16,204.4,203.05,205.97,203.86,22204700,662,8,1
19.51,17.07,63.41,204.9,202.75,205,202.12,18649100,584,38,-1
24.32,10.81,64.86,206.83,203.72,207.76,205.12,18543200,639,29,-1
30.56,8.33,61.11,207.36,205.58,208.48,207.05,17540600,578,29,-1
33.33,2.78,63.89,204.43,205.9,207.75,203.9,23323000,478,45,1
26.19,19.05,54.76,202.83,202.97,204.94,202.34,19439500,623,41,1
20,14.29,65.71,203.12,202.31,204.15,202.52,24195800,503,30,1
21.05,7.89,71.05,199.54,201.58,203.38,198.61,28906800,522,35,1
24.14,0,75.86,199.46,197.73,201.37,198.56,25696400,304,49,1
30.56,8.33,61.11,198.58,197.71,199.85,198.01,17536600,505,17,1
13.04,19.57,67.39,199.2,197.36,200.14,196.21,27760700,696,101,-1
23.08,7.69,69.23,200.85,197.44,201,198.44,20900800,525,31,-1
38.1,7.14,54.76,198.68,199.09,200.74,198.18,21695300,671,49,1
24.24,21.21,54.55,200.32,197.98,202.85,199.23,35768200,539,42,-1
31.11,11.11,57.78,196.42,198.58,200.23,196.34,25881700,656,70,1
21.43,7.14,71.43,196.45,195.5,197.1,195.93,18526600,492,30,1
46.43,14.29,39.29,194.79,194.2,196.37,193.14,19114300,492,37,1
24.14,0,75.86,193.25,193.86,196.5,193.15,23271800,286,18,1
18.18,12.12,69.7,191.09,192.54,194.46,191.05,22765700,436,20,1
42.86,11.43,45.71,191.64,189.79,191.68,188.38,27862000,453,30,1
20.51,15.38,64.1,189.83,188.51,190.08,188.54,23564000,620,40,1
28.12,9.38,62.5,188.95,187.28,189.56,187.53,20780400,523,29,1
18.18,13.64,68.18,188.75,187.04,189.76,186.55,29848400,652,48,1
21.15,25,53.85,191.66,185.37,192.88,184.58,49800500,709,66,-1
20.69,10.34,68.97,191.51,187.3,191.98,186.6,43845300,792,29,-1
23.81,23.81,52.38,195.34,189.6,197.69,190.78,42407700,590,52,-1
23.4,12.77,63.83,190.02,193.61,196.33,189.81,51034200,637,23,1
41.94,3.23,54.84,186.23,186.73,189.49,184.73,31035200,595,50,1
13.89,22.22,63.89,188.35,185.11,188.99,185.92,31646400,557,12,-1
23.08,5.13,71.79,185.8,186.59,188.39,185.79,26219800,431,32,1
25,9.38,65.62,184.85,184.7,187.33,183.74,39042900,403,27,1
10,10,80,183.9,182.33,184.1,182.56,23579500,422,42,1
20.83,12.5,66.67,182.25,180.33,183.3,180.92,31032500,743,57,1
22.22,0,77.78,180,179.53,182.67,179.37,32467600,277,42,1
24.24,15.15,60.61,175.49,177.54,179.12,175.35,32011000,433,30,1
35.29,8.82,55.88,170.32,171.59,173.07,169.5,23999400,489,42,1
28.57,7.14,64.29,173.87,171.19,174.44,172.02,24796400,583,25,-1
21.05,10.53,68.42,174.67,173.19,175.49,173.94,20810400,516,41,-1
22.86,14.29,62.86,175.94,174.19,176,174.54,19737400,446,65,-1
24.32,8.11,67.57,175.69,174.51,177.75,173.97,27436200,560,39,1
37.84,5.41,56.76,174.28,173.64,175.15,172.89,25886200,665,34,1
30.3,6.06,63.64,173.21,173.54,175,172.73,27835400,410,19,1
24.24,9.09,66.67,173.71,173,175.3,173.17,17070200,481,28,1
33.33,8.33,58.33,174.16,172.9,175.87,173.95,21873400,563,24,1
35.42,10.42,54.17,171.58,171.65,173,171.38,18913200,1133,43,1
20.51,5.13,74.36,171.8,169.76,172.37,170.3,17249700,633,53,-1
22.22,6.67,71.11,171.19,170.72,173.32,170.99,26114400,596,55,1
38.24,0,61.76,169.71,169.63,171.44,169.49,18972800,546,53,1
53.12,0,46.88,171.25,169.12,171.7,169.75,24626800,488,61,-1
21.15,15.38,63.46,169.71,169.5,171.26,169.38,21835700,635,64,1
27.03,24.32,48.65,171.39,168.89,172.48,169.92,22490200,652,37,-1
32.35,5.88,61.76,170.1,169.59,171,169.7,22283500,487,43,1
31.25,6.25,62.5,171.05,168.14,171.21,169.25,20993400,323,90,-1
26.92,7.69,65.38,168.99,169.11,170.66,168.42,23820000,413,45,1
17.86,7.14,75,172.4,168.92,173.94,170.34,31741700,496,19,-1
36.36,3.03,60.61,174.65,172.18,175.57,172.85,28239600,587,50,1
38.78,6.12,55.1,172.86,172.12,175.08,172.35,36101600,766,63,1
44.12,5.88,50,167.41,169.22,171.66,167.28,31495500,521,26,1
37.78,13.33,48.89,166.96,164.55,168.98,165.93,32668100,699,47,1
13.64,11.36,75,163.25,163.29,166.15,160.23,61109800,573,16,1
24.14,10.34,65.52,156.25,152.85,158.13,154.11,41587200,693,36,-1
24.39,26.83,48.78,155.79,154.45,156.33,153.66,26192100,631,13,-1
32.5,5,62.5,155.48,155.89,158.13,154.32,33535500,571,25,1
40.54,10.81,48.65,154.11,150.89,154.48,151.74,25441500,582,19,-1
20.45,15.91,63.64,154.15,152.1,155.14,151.7,23130600,658,51,1
35.56,8.89,55.56,156.41,151.48,156.73,152.62,30394000,689,22,-1
30.43,8.7,60.87,157.5,154.96,157.88,155.98,33751000,567,13,1
34.62,17.31,48.08,154.2,154.01,157.66,153.26,29821200,803,54,1
12.5,17.5,70,153.08,153.1,155.88,153,30569700,626,20,1
31.71,14.63,53.66,150.27,151.26,153.39,150.05,28710900,512,25,1
18.18,22.73,59.09,150.85,148.22,151.27,149.22,32439200,757,27,-1
43.14,5.88,50.98,152.88,150.49,153.7,151.51,27023200,915,43,-1
20,26,54,152.5,151.98,153.97,150.86,35780700,746,29,1
29.27,14.63,56.1,151.29,151.49,154.53,149.63,45099100,685,34,1
31.03,13.79,55.17,149.56,148.96,151.82,148.52,41025300,1004,33,1
23.33,18.33,58.33,148.7,146.18,148.83,145.9,54777800,832,31,-1
25.42,18.64,55.93,144.53,146.5,148.55,143.8,58607100,888,33,1
24.14,18.97,56.9,143.98,140.51,145.72,142,91312200,790,44,-1
14.29,12.7,73.02,154.89,156.05,158.85,154.23,37039700,887,37,1
23.68,2.63,73.68,157.5,154.38,158.52,154.55,42291400,494,18,1
22.86,17.14,60,155.84,154.3,156.77,150.07,53117100,562,41,-1
25,22.22,52.78,148.3,155.31,157.23,146.72,58582500,711,9,1
20.93,6.98,72.09,148.15,145.09,151.55,146.59,37169200,770,41,-1
19.3,5.26,75.44,156.86,148.94,158.16,149.63,95744600,818,73,-1
18.18,15.91,65.91,160.4,154.97,162.11,155.3,64773000,598,30,-1
26.83,7.32,65.85,166,158.98,167.45,159.09,49047300,545,38,-1
29.73,8.11,62.16,165.38,164.1,167.53,164.39,33841500,607,21,1
28.21,15.38,56.41,165.45,162,168.35,162.73,44287900,694,47,-1
29.27,36.59,34.15,169,163.52,169.08,165.28,40703700,758,52,-1
39.39,3.03,57.58,170.49,168.93,172.57,169.55,31898600,593,41,1
23.81,9.52,66.67,170.4,167.1,171.92,169.02,35627700,790,46,1
27.5,17.5,55,171.66,166.63,171.79,167,47281700,509,11,-1
20.45,15.91,63.64,165,167.59,170.09,163.33,62026000,514,26,1
25,6.82,68.18,173.49,166.49,174.49,168.3,42281600,725,36,-1
25,5,70,171.76,172.65,174.78,170.42,43098400,570,13,-1
32.5,15,52.5,180.95,174.6,182.39,176.27,41344300,655,20,-1
33.33,17.95,48.72,184.46,182.63,184.94,181.21,40802500,693,23,1
21.43,19.05,59.52,182.66,177.42,182.8,177.7,41770000,578,80,-1
27.78,9.26,62.96,176.73,178.8,181.29,174.93,46062500,801,53,1
46.67,11.11,42.22,171.51,172.18,174.77,170.88,41387400,687,23,-1
20.69,10.34,68.97,174.24,172.55,174.95,170.26,44998500,881,17,1
30.61,12.24,57.14,174.94,170.25,176.6,172.1,23624000,817,22,-1
30.77,15.38,53.85,179.73,174.69,180.27,176.55,31124200,828,67,-1
25.86,20.69,53.45,178.37,174.88,181.47,175.51,67825200,933,29,-1
35.09,10.53,54.39,190,183.66,190.7,184.99,41925300,664,45,-1
50,2.17,47.83,190.5,191.24,194.97,189.46,36928300,761,64,1
22.64,11.32,66.04,188.39,189.14,191.97,186.9,46478800,772,59,1
22.81,14.04,63.16,193.9,184.59,194.48,185.93,60801000,756,28,-1
27.5,10,62.5,191.63,189.95,197.18,191.45,46882900,676,20,-1
18.87,22.64,58.49,199,191.87,199.85,193.79,51135500,636,18,-1
41.86,2.33,55.81,205.55,202.05,206.01,202.25,34365800,718,60,-1
31.43,8.57,60,209.98,206.02,210.12,206.75,25362600,553,36,-1
46.34,12.2,41.46,205.97,206.74,210.06,204.13,33424400,607,57,1
38.46,7.69,53.85,201.92,200.66,204.72,201.69,31882900,660,94,1
32.65,16.33,51.02,204.3,198.51,204.39,198.17,66163700,640,27,-1
